Original filepath: hi.xml, tokenized token numbers: 25261, normalized token numbers: 25236
Word Index	Preprocessed	Normalized
2732	<tag>	<tag>
2733	'	'
2734	Fed	Fed
2735	on	on
2736	Acorns	Acorns
2737	,	,
2738	and	and
2739	when	when
2740	dry	dry
2741	<tag>	<tag>
2742	<tag>	<tag>'drank
2743	'drank	the
2744	the	Waters
2745	Waters	of
2746	of	the
2747	the	Brook
2748	Brook	:
2749	:	<tag>
2750	<tag>	<tag>
2751	<tag>	'
2752	'	Beasts

4507	<tag>	to
4508	to	this
4509	this	?
4510	?	<tag>
4511	<tag>	<tag>
4512	<tag>	<tag>
4513	<tag>	<tag>'daph
4514	<tag>	.
4515	'daph	<tag>
4516	.	<tag>
4517	<tag>	You
4518	<tag>	're
4519	You	fond
4520	're	to
4521	fond	know
4522	to	anothers
4523	know	thoughts
4524	anothers	,
4525	thoughts	<tag>
4526	,	<tag>
4527	<tag>	'

4566	Pray	me
4567	tell	how
4568	me	.
4569	how	<tag>
4570	.	<tag>
4571	<tag>	<tag>
4572	<tag>	<tag>'daph
4573	<tag>	.
4574	<tag>	<tag>
4575	'daph	<tag>
4576	.	She
4577	<tag>	smil'd
4578	<tag>	,
4579	She	and
4580	smil'd	turning
4581	,	to
4582	and	the
4583	turning	Swain
4584	to	,
4585	the	<tag>
4586	Swain	<tag>

4670	did	believe
4671	he	it
4672	not	?
4673	believe	<tag>
4674	it	<tag>
4675	?	<tag>
4676	<tag>	<tag>'daph
4677	<tag>	.
4678	<tag>	<tag>
4679	<tag>	<tag>
4680	'daph	Have
4681	.	you
4682	<tag>	not
4683	<tag>	read
4684	Have	what
4685	you	<tag>
4686	not	Thyrsis
4687	read	<tag>
4688	what	wrote
4689	<tag>	?
4690	Thyrsis	<tag>

4767	<tag>	cause
4768	<tag>	to
4769	'	laugh
4770	Have	at
4771	cause	what
4772	to	he
4773	laugh	wrote
4774	at	.
4775	what	<tag>
4776	he	<tag>
4777	wrote	<tag>'deceitful
4778	.	Glass
4779	<tag>	,
4780	<tag>	where
4781	<tag>	oft
4782	'deceitful	I
4783	Glass	see
4784	,	<tag>
4785	where	<tag>
4786	oft	<tag>
4787	I	<tag>

4854	<tag>	to
4855	'	help
4856	But	'em
4857	Love	in
4858	,	the
4859	to	Cheat
4860	help	,
4861	'em	<tag>
4862	in	<tag>
4863	the	<tag>
4864	Cheat	<tag>'deprives
4865	,	me
4866	<tag>	of
4867	<tag>	my
4868	<tag>	Reason
4869	<tag>	.
4870	'deprives	<tag>
4871	me	<tag>
4872	of	<tag>
4873	my	'
4874	Reason	He

7480	who	<tag>
7481	speaks	'
7482	so	And
7483	fair	with
7484	?	grave
7485	<tag>	smiles
7486	<tag>	declares
7487	'	events
7488	And	:
7489	with	<tag>
7490	grave	<tag>'dark
7491	smiles	and
7492	declares	treacherous
7493	events	to
7494	:	deceive
7495	<tag>	<tag>
7496	<tag>	<tag>
7497	'dark	'
7498	and	Such
7499	treacherous	as
7500	to	suppose

7903	you	will
7904	.	hear
7905	<tag>	'em
7906	<tag>	laugh
7907	'	at
7908	There	your
7909	you	rude
7910	will	mien
7911	hear	,
7912	'em	<tag>
7913	laugh	<tag>'despise
7914	at	a
7915	your	Shepherds
7916	rude	life
7917	mien	,
7918	,	and
7919	<tag>	mock
7920	<tag>	our
7921	'despise	Songs
7922	a	.
7923	Shepherds	<tag>

10440	<tag>	<tag>'daph
10441	Than	.
10442	he	<tag>
10443	deserves	<tag>
10444	.	Enough
10445	<tag>	of
10446	<tag>	this
