# The following common verbs are selected from some randomly selected files in the EMMA corpus and all have at least 50 occurrences. I also did some inspection to ensure that all included here are verbs. Nevertheless, this approach to normalize the archaic verb inflections in early modern English is a naive one, but should work for most cases as they represent some most frequently verbs that are likely to be used. The first column is the base verb, the second column the third person singular and the last the simple past tense. 
have	has	had
make	makes	made
give	gives	gave
take	takes	took
see	sees	saw
say	says	said
let	lets	let
come	comes	came
accord	accords	accorded
think	thinks	thought
know	knows	knew
call	calls	called
find	finds	found
keep	keeps	kept
seem	seems	seemed
bring	brings	brought
believe	believes	believed
cause	causes	caused
set	sets	set
put	puts	put
show	shows	showed
prove	proves	proved
send	sends	sent
tell	tells	told
follow	follows	followed
concern	concerns	concerned
receive	receives	received
live	lives	lived
leave	leaves	left
appear	appears	appeared
speak	speaks	spoke
bear	bears	bore
lay	lays	laid
pass	passes	passed
hear	hears	heard
suffer	suffers	suffered
consider	considers	considered
hope	hopes	hoped
enter	enters	entered
use	uses	used
look	looks	looked
stand	stands	stood
serve	serves	served
begin	begins	began
fall	falls	fell
get	gets	got
worship	worships	worshiped
pay	pays	paid
write	writes	wrote
draw	draws	drew
observe	observes	observed
oblige	obliges	obliged
eat	eats	ate
destroy	destroys	destroyed
suppose	supposes	supposed
lose	loses	lost
grant	grants	granted
add	adds	added
commit	commits	committed
carry	carries	carried
pray	prays	prayed
answer	answers	answered
appoint	appoints	appointed
meet	meets	met
save	saves	saved
prevent	prevents	prevented
understand	understands	understood
bind	binds	bound
judge	judges	judged
conclude	concludes	concluded
raise	raises	raised
hold	holds	held
text	texts	texted
expect	expects	expected
proceed	proceeds	proceeded
preserve	preserves	preserved
declare	declares	declared
deliver	delivers	delivered
run	runs	ran
turn	turns	turned
become	becomes	became
need	needs	needed
resolve	resolves	resolved
lie	lies	lay
pretend	pretends	pretended
force	forces	forced
return	returns	returned
continue	continues	continued
break	breaks	broke
render	renders	rendered
teach	teaches	taught
enjoy	enjoys	enjoyed
perform	performs	performed
mention	mentions	mentioned
kill	kills	killed
offer	offers	offered
require	requires	required
ask	asks	asked
act	acts	acted
intend	intends	intended
love	loves	loved
allow	allows	allowed
defend	defends	defended
secure	secures	secured
choose	chooses	chose
help	helps	helped
please	pleases	pleased
read	reads	read
build	builds	built
own	owns	owned
maintain	maintains	maintained
learn	learns	learned
avoid	avoids	avoided
slay	slays	slayed
command	commands	commanded
deny	denies	denied
drink	drinks	drank
endeavour	endeavours	endeavoured
lead	leads	led
obey	obeys	obeyed
desire	desires	desired
die	dies	died
design	designs	designed
relate	relates	related
submit	submits	submitted
condemn	condemns	condemned
fear	fears	feared
produce	produces	produced
seek	seeks	sought
remember	remembers	remembered
walk	walks	walked
signify	signifies	signified
resist	resists	resisted
place	places	placed
want	wants	wanted
try	tries	tried
fit	fits	fitted
divide	divides	divided
change	changes	changed
conceive	conceives	conceived
admit	admits	admitted
sign	signs	signed
provide	provides	provided
cut	cuts	cut
yield	yields	yielded
remove	removes	removed
discover	discovers	discovered
represent	represents	represented
obtain	obtains	obtained
forego	foregoes	forewent
imagine	imagines	imagined
promise	promises	promised
sit	sits	sat
agree	agrees	agreed
hinder	hinders	hindered
engage	engages	engaged
belong	belongs	belonged
doubt	doubts	doubted
remain	remains	remained
exceed	exceeds	exceeded
charge	charges	charged
assist	assists	assisted
express	expresses	expressed
cast	casts	cast
ordain	ordains	ordained
wish	wishes	wished
stay	stays	stayed
fly	flies	flew
burn	burns	burned
punish	punishes	punished
owe	owes	owed
account	accounts	accounted
support	supports	supported
fight	fights	fought
swear	swears	swore
happen	happens	happened
depend	depends	depended
name	names	named
establish	establishes	established
acknowledge	acknowledges	acknowledged
confirm	confirms	confirmed
rise	rises	rose
dye	dyes	dyed
confess	confesses	confessed
determine	determines	determined
afford	affords	afforded
attend	attends	attended
oppose	opposes	opposed
accept	accepts	accepted
affirm	affirms	affirmed
work	works	worked
discern	discerns	discerned
procure	procures	procured
prevail	prevails	prevailed
move	moves	moved
forgive	forgives	forgave
dare	dares	dared
join	joins	joined
examine	examines	examined
acquaint	acquaints	acquainted
reduce	reduces	reduced
throw	throws	threw
forbid	forbids	forbade
gain	gains	gained
convince	convinces	convinced
consist	consists	consisted
cease	ceases	ceased
propose	proposes	proposed
inform	informs	informed
forget	forgets	forgot
cry	cries	cried
assure	assures	assured
publish	publishes	published
deserve	deserves	deserved
direct	directs	directed
fix	fixes	fixed
recover	recovers	recovered
wait	waits	waited
bless	blesses	blessed
preach	preaches	preached
apply	applies	applied
trust	trusts	trusted
arise	arises	arose
expose	exposes	exposed
flee	flees	fled
sell	sells	sold
venture	ventures	ventured
execute	executes	executed
permit	permits	permitted
settle	settles	settled
drive	drives	drove
promote	promotes	promoted
fill	fills	filled
pursue	pursues	pursued
plead	pleads	pleaded
excuse	excuses	excused
reach	reaches	reached
hate	hates	hated
stop	stops	stopped
talk	talks	talked
restore	restores	restored
endure	endures	endured
present	presents	presented
comply	complies	complied
beg	begs	begged
march	marches	marched
profess	professes	professed
refuse	refuses	refused
cover	covers	covered
hide	hides	hid
undo	undos	undid
bury	buries	buried
create	creates	created
buy	buys	bought
touch	touches	touched
shine	shines	shined
spend	spends	spent
repeat	repeats	repeated
prepare	prepares	prepared
govern	governs	governed
satisfy	satisfies	satisfied
arrive	arrives	arrived
beseech	beseeches	besought
order	orders	ordered
approve	approves	approved
feel	feels	felt
supply	supplies	supplied
alter	alters	altered
treat	treats	treated
dwell	dwells	dwelt
complain	complains	complained
succeed	succeeds	succeeded
depart	departs	departed
contain	contains	contained
hang	hangs	hung
deceive	deceives	deceived
repent	repents	repented
esteem	esteems	esteemed
fail	fails	failed
persuade	persuades	persuaded
escape	escapes	escaped
explain	explains	explained
presume	presumes	presumed
justify	justifies	justified
seize	seizes	seized
perish	perishes	perished
reckon	reckons	reckoned
affect	affects	affected
print	prints	printed
rest	rests	rested
face	faces	faced
assert	asserts	asserted
wear	wears	wore
unite	unites	united
partake	partakes	partook
baptize	baptizes	baptized
breed	breeds	bred
feed	feeds	fed
wound	wounds	wounded
perceive	perceives	perceived
suspect	suspects	suspected
institute	institutes	instituted
undertake	undertakes	undertook
impose	imposes	imposed
demand	demands	demanded
disturb	disturbs	disturbed
forfeit	forfeits	forfeited
deal	deals	dealt
dispose	disposes	disposed
argue	argues	argued
clear	clears	cleared
search	searches	searched
open	opens	opened
advise	advises	advised
distinguish	distinguishes	distinguished
